Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 64.55, 3.59,5.89, 12604699, 2.4,
ADBE, Adobe Systems Incorporated, 184.06, 3.18,1.76, 1791797, 1.4,
AKAM, Akamai Technologies Inc., 53.76, 0,0, 1437890, .0,
ALXN, Alexion Pharmaceuticals Inc., 115.39, -2.03,-1.73, 2210990, -.4,
ALGN, Align Technology Inc., 252.74, 6.28,2.55, 1080290, .4,
GOOG, Alphabet Inc., 1039.85, 6.52,0.63, 1088716, 2.0,
GOOGL, Alphabet Inc., 1058.29, 5.9,0.56, 1214600, 1.5,
AMZN, Amazon.com Inc., 1132.88, 9.71,0.86, 2581451, 4.1,
AAL, American Airlines Group Inc., 46.37, -0.09,-0.19, 3198779, .0,
AMGN, Amgen Inc., 173.58, 0.1,0.06, 2003016, .1,
ADI, Analog Devices Inc., 92, 0.1,0.11, 1617599, .0,
AAPL, Apple Inc., 176.24, 1.43,0.82, 24409527, 6.5,
AMAT, Applied Materials Inc., 56.92, 0.45,0.8, 7468240, .4,
ADSK, Autodesk Inc., 123.84, 0.44,0.36, 892522, .1,
ADP, Automatic Data Processing Inc., 112.59, -0.16,-0.14, 1462814, -.1,
BIDU, Baidu Inc., 241.18, -2.29,-0.94, 2088948, -.6,
BIIB, Biogen Inc., 312.58, -0.99,-0.32, 1232174, -.2,
BMRN, BioMarin Pharmaceutical Inc., 82.81, -0.96,-1.15, 1054012, -.2,
AVGO, Broadcom Limited, 272.4, 1.08,0.4, 3025382, .4,
CA, CA Inc., 32.62, 0.32,0.99, 1431621, .1,
CELG, Celgene Corporation, 101.65, -0.68,-0.66, 6407786, -.5,
CERN, Cerner Corporation, 66.28, 0.36,0.55, 1331746, .1,
CHTR, Charter Communications Inc., 337.9, -5.11,-1.49, 1372574, -1.2,
CHKP, Check Point Software Technologies Ltd., 105.36, 0.37,0.35, 771843, .1,
CTAS, Cintas Corporation, 149.61, 1.74,1.18, 404082, .2,
CSCO, Cisco Systems Inc., 34.5, 0.1,0.29, 13061334, .4,
CTXS, Citrix Systems Inc., 85.91, 1.43,1.69, 2975475, .2,
CTSH, Cognizant Technology Solutions Corporation, 74.38, -0.27,-0.36, 2556121, -.1,
CMCSA, Comcast Corporation, 36.21, -0.18,-0.49, 23914880, -.7,
COST, Costco Wholesale Corporation, 169.05, 2.77,1.67, 3494941, 1.1,
CSX, CSX Corporation, 51.49, -0.33,-0.64, 3896621, -.3,
CTRP, Ctrip.com International Ltd., 45.95, 0.05,0.11, 6186822, .0,
XRAY, DENTSPLY SIRONA Inc., 64.51, 0.13,0.2, 1716755, .0,
DISCA, Discovery Communications Inc., 17.1, -0.23,-1.33, 5413912, .0,
DISCK, Discovery Communications Inc., 15.99, -0.22,-1.36, 3266730, .0,
DISH, DISH Network Corporation, 48.73, -1.34,-2.68, 3750512, -.3,
DLTR, Dollar Tree Inc., 93.9, 0.28,0.3, 1183337, .1,
EBAY, eBay Inc., 37.01, -0.4,-1.07, 6369825, -.4,
EA, Electronic Arts Inc., 114.15, 2.45,2.19, 3393840, .7,
EXPE, Expedia Inc., 118.56, -1.05,-0.88, 3063594, -.1,
ESRX, Express Scripts Holding Company, 61.3, 0.7,1.16, 2038738, .4,
FB, Facebook Inc., 179.56, -0.69,-0.38, 10494129, -1.4,
FAST, Fastenal Company, 48.47, 0.43,0.9, 1632971, .1,
FISV, Fiserv Inc., 128.82, 1.85,1.46, 700503, .3,
GILD, Gilead Sciences Inc., 73.1, -0.11,-0.15, 8093327, -.1,
HAS, Hasbro Inc., 89.01, -0.88,-0.98, 1630737, -.1,
HSIC, Henry Schein Inc., 70, -1.01,-1.42, 3012761, -.1,
HOLX, Hologic Inc., 39.54, 0.04,0.1, 3803007, .0,
IDXX, IDEXX Laboratories Inc., 150.07, -0.01,-0.01, 526477, .0,
ILMN, Illumina Inc., 211.2, -0.54,-0.26, 379124, -.1,
INCY, Incyte Corporation, 104.98, -3.16,-2.92, 1365375, -.6,
INTC, Intel Corporation, 46.7, -0.08,-0.17, 21565259, -.3,
INTU, Intuit Inc., 152.96, 0.45,0.3, 734279, .1,
ISRG, Intuitive Surgical Inc., 392.34, 1.3,0.33, 490181, .1,
JBHT, J.B. Hunt Transport Services Inc., 104.36, -2.29,-2.15, 1447310, -.2,
JD, JD.com Inc., 40.33, 0.54,1.36, 17107204, .4,
KLAC, KLA-Tencor Corporation, 107.08, -0.42,-0.39, 1111129, -.1,
LRCX, Lam Research Corporation, 211.24, 2.05,0.98, 1565032, .3,
LBTYA, Liberty Global plc, 29.8, -0.74,-2.42, 1362554, -.2,
LBTYK, Liberty Global plc, 28.83, -0.85,-2.86, 3616508, -.4,
LILA, Liberty Global plc, 22.16, 0.29,1.33, 255103, .0,
LILAK, Liberty Global plc, 21.96, 0.2,0.92, 673711, .0,
LVNTA, Liberty Interactive Corporation, 56.36, -1.08,-1.88, 899148, -.1,
QVCA, Liberty Interactive Corporation, 21.54, -0.01,-0.05, 6695442, .0,
MAR, Marriott International, 119.98, -0.91,-0.75, 6163025, -.3,
MXIM, Maxim Integrated Products Inc., 55.33, 0.62,1.13, 1668203, .2,
MELI, MercadoLibre Inc., 260.1, -5.53,-2.08, 563973, -.2,
MCHP, Microchip Technology Incorporated, 92.81, 1.37,1.5, 4605102, .3,
MU, Micron Technology Inc., 44.09, 0.14,0.32, 19518985, .1,
MSFT, Microsoft Corporation, 84.56, 0.29,0.34, 17198854, 2.0,
MDLZ, Mondelez International Inc., 41.6, 0.39,0.95, 11386553, .5,
MNST, Monster Beverage Corporation, 58, 0.08,0.14, 3257344, .0,
MYL, Mylan N.V., 37.24, 0.57,1.55, 5854406, .3,
NTES, NetEase Inc., 314.18, 7.59,2.48, 1433061, .5,
NFLX, Netflix Inc., 196.44, 0.55,0.28, 4228019, .2,
NCLH, Norwegian Cruise Line Holdings Ltd., 55.56, 0.2,0.36, 1423638, .0,
NVDA, NVIDIA Corporation, 209.16, -2.87,-1.35, 13074582, -1.5,
ORLY, O'Reilly Automotive Inc., 209.65, 1.54,0.74, 687833, .1,
PCAR, PACCAR Inc., 70.52, 0.04,0.06, 977461, .0,
PAYX, Paychex Inc., 64.55, 0.28,0.44, 1084898, .1,
PYPL, PayPal Holdings Inc., 74.77, 0.36,0.48, 7429464, .4,
QCOM, QUALCOMM Incorporated, 65.49, 1.39,2.17, 26514424, 1.8,
REGN, Regeneron Pharmaceuticals Inc., 415.17, 10.78,2.67, 1310387, 1.0,
ROST, Ross Stores Inc., 63.87, -0.92,-1.42, 2373171, -.3,
STX, Seagate Technology PLC, 37.71, 0.59,1.59, 4229238, .2,
SHPG, Shire plc, 141.31, -3.38,-2.34, 1277799, -.2,
SIRI, Sirius XM Holdings Inc., 5.36, 0.031,0.58, 15819326, .1,
SWKS, Skyworks Solutions Inc., 113.15, 1.96,1.76, 2773578, .3,
SBUX, Starbucks Corporation, 57.91, 0.69,1.21, 13533654, .9,
SYMC, Symantec Corporation, 29.03, 0.35,1.22, 6743922, .2,
TMUS, T-Mobile US Inc., 56.22, 0.86,1.55, 5975553, .6,
TSLA, Tesla Inc., 304.39, -1.66,-0.54, 4725271, -.2,
TXN, Texas Instruments Incorporated, 98.44, 0.04,0.04, 3218701, .0,
KHC, The Kraft Heinz Company, 79.58, 1.4,1.79, 4058749, 1.5,
PCLN, The Priceline Group Inc., 1661.11, 15.39,0.94, 1332403, .7,
TSCO, Tractor Supply Company, 60.64, 1.5,2.54, 1901448, .2,
FOX, Twenty-First Century Fox Inc., 27.35, 0.31,1.15, 5674457, .2,
FOXA, Twenty-First Century Fox Inc., 28.09, 0.34,1.23, 11045021, .3,
ULTA, Ulta Beauty Inc., 195.9, -2.11,-1.07, 1311573, -.1,
VRSK, Verisk Analytics Inc., 92.57, 0.28,0.3, 980810, .0,
VRTX, Vertex Pharmaceuticals Incorporated, 147.4, -3.91,-2.58, 1182322, -.9,
VIAB, Viacom Inc., 24.3, -0.48,-1.94, 4564408, -.2,
VOD, Vodafone Group Plc, 28.81, -0.13,-0.45, 2465724, -.1,
WBA, Walgreens Boots Alliance Inc., 68.9, 0.98,1.44, 7805886, .9,
WDC, Western Digital Corporation, 87.12, 1.03,1.2, 2777692, .3,
WYNN, Wynn Resorts Limited, 152.79, 0.6,0.39, 2148256, .1,
XLNX, Xilinx Inc., 73.62, -0.29,-0.39, 1306372, -.1,
